"question_id","user_id","rating"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"great"
6,1,"bad"
6,1,"great"
6,1,"great"
